Cantidad de vueltas,R,T_cal,R_cal
10,109.6,22,115190
20,105.5,23,109850
30,101.2,24,104800
40,97.8,25,100000
50,94.6,26,95447
60,90.5,27,91126
70,87.8,28,87022
80,84.5,29,83124
90,81.1,30,79422
100,77.9,31,75903
110,75,32,72560
120,72.2,33,69380
130,70.1,34,66356
140,67.3,35,63480
150,65.3,36,60743
160,63.4,37,58138
170,61.4,38,55658
180,59.5,39,53297
190,58.2,40,51048
200,57,41,48905
210,56.6,42,46863
220,56.3,43,44917
230,55.9,44,43062
240,55.6,45,41292
250,55.3,46,39605
260,55,,
270,54.6,,
280,54.3,,
290,54,,
300,53.7,,
310,53.5,,
320,53.2,,
330,52.7,,
340,52.5,,
350,52.2,,
360,52.3,,
370,52,,
380,51.6,,
390,51.3,,
400,51.1,,
410,50.7,,
420,52.1,,
430,50.2,,
440,50,,
450,49.1,,
460,48.9,,
470,48.4,,
480,48,,
490,47.5,,
500,47,,